variant,segment,precision,recall,f1,support
full,Budget Students,1.0,1.0,1.0,74.0
full,Career Switchers,1.0,1.0,1.0,72.0
full,Casual Upskillers,0.8688524590163934,0.6625,0.75177304964539,80.0
full,Dormant Explorers,0.6666666666666666,0.8709677419354839,0.7552447552447552,62.0
full,Enterprise Professionals,1.0,1.0,1.0,50.0
full,Power Learners,1.0,1.0,1.0,62.0
behavior_only,Budget Students,0.45901639344262296,0.3783783783783784,0.4148148148148148,74.0
behavior_only,Career Switchers,0.3409090909090909,0.4166666666666667,0.375,72.0
behavior_only,Casual Upskillers,0.3090909090909091,0.2125,0.2518518518518518,80.0
behavior_only,Dormant Explorers,0.45714285714285713,0.7741935483870968,0.5748502994011976,62.0
behavior_only,Enterprise Professionals,0.2916666666666667,0.28,0.2857142857142857,50.0
behavior_only,Power Learners,0.5116279069767442,0.3548387096774194,0.41904761904761906,62.0
